From Id	To Id	Tx	Meta
15	87	1.87403	
31	87	1.87403	
14	87	1.87403	
32	87	1.87403	
4	87	1.87403	
16	87	1.87403	
5	87	1.87403	
30	87	1.87403	
13	87	1.87403	
33	87	1.87403	
0	87	1.87403	
17	87	1.87403	
29	87	1.87403	
3	87	1.87403	
34	87	1.87403	
6	87	1.87403	
28	87	1.87403	
12	87	1.87403	
2	87	1.87403	
35	87	1.87403	
1	87	1.87403	
18	87	1.87403	
11	87	1.87403	
9	87	1.87403	
27	87	1.87403	
8	87	1.87403	
36	87	1.87403	
26	87	1.87403	
10	87	1.87403	
7	87	1.87403	
23	87	1.87403	
25	87	1.87403	
21	87	1.87403	
22	87	1.87403	
20	87	1.87403	
24	87	1.87403	
19	87	1.87403	
2	87	2.61721	
1	87	2.61721	
0	87	2.61721	
8	87	2.61721	
3	87	2.61721	
10	87	2.61721	
11	87	2.61721	
6	87	2.61721	
7	87	2.61721	
4	87	2.61721	
22	87	2.61721	
9	87	2.61721	
5	87	2.61721	
